tax_label,OBER.032,OBER.026,OBER.025,OBER.028,OBER.027,OBER.020,OBER.019,OBER.017,OBER.009,OBER.008,OBER.011,OBER.010,OBER.003,OBER.005,OBER.050,OBER.046,OBER.034,OBER.033,OBER.022,OBER.021,OBER.016,OBER.002,OBER.004,OBER.038,OBER.040,OBER.039,OBER.015,OBER.014,OBER.048,OBER.047,OBER.049,OBER.045,OBER.037,OBER.044,OBER.043
Acidimicrobiia__Microtrichales__Microtrichaceae__uncultured,0.019957179996941427,0.013755158184319119,0.010618792971734148,0.028280975311472906,0.010557723204039478,0.0337610754659334,0.013445378151260505,0.010546427206725257,0.02453753248738725,0.010166641186362941,0.017868051313378132,0.013151858082275578,0.017269045617788647,0.010764180471791741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidobacteriia__Solibacterales__Solibacteraceae (Subgroup 3)__Bryobacter,0.015598715399908243,0.01925722145804677,0.015813598166539343,0.012382481082320568,0.011169765128911331,0.015505652306752216,0.011764705882352941,0.028429499426824607,0.01574682770218621,0.010931050298119553,0.028711056811240074,0.01529285823520416,0.02689692060823718,0.029086189785479808,0.010922700886037275,0.010159651669085631,0.02212524881335171,0.018575141415685677,0.024205864386072085,0.016293123231086972,0.021486465820461844,0.012525777132819063,0.022857579695741915,0,0,0,0,0,0,0,0,0,0,0,0
Acidobacteriia__Solibacterales__Solibacteraceae (Subgroup 3)__Elev-16S-1166,0.017586786970484783,0.02078557236741556,0.011841100076394195,0.01337613697164259,0,0.01825542315918118,0,0.07313717997707297,0,0,0.05956017104459377,0.01338125095580364,0.011920226178650569,0.027941064203374305,0,0.01443739974027958,0.11246363497167357,0.06902614279162207,0.12118204031765425,0.023254035034039625,0.021792322985165927,0,0.011314119715618073,0.011147591051385814,0.04773907729911396,0.01748759068346697,0,0,0,0,0,0,0,0,0
Alphaproteobacteria__Rhizobiales__Ambiguous_taxa__Ambiguous_taxa,0,0,0,0,0.026700328972534618,0.01008249312557287,0,0.03798242262132212,0,0,0.04024129505192425,0.019727787123413366,0,0.030460340484006414,0.027268560953253897,0.010770758536399052,0.032613688562241616,0.01765785048157774,0.050015271838729385,0.021647670771819782,0.026838966202783303,0,0.02194021863771883,0,0.02673388328750382,0.013592974417716687,0,0,0,0,0,0,0,0,0
Alphaproteobacteria__Rhizobiales__Hyphomicrobiaceae__Hyphomicrobium,0.028215323443951675,0.016582607366651382,0.016119174942704356,0.025987923259191317,0.04192487185372198,0.027497708524289642,0.031627196333078686,0.04142147497134123,0.030347041736737503,0.038067573765479285,0.04161576053756872,0.06904725493194679,0.033468327347749675,0.037025727154744635,0,0,0.027790537436839687,0.04525301941599144,0.028405620036652413,0.05308651418955098,0.07011775500841107,0.03963950202398228,0.06192187141655837,0,0.011992056217537427,0.01809851088201604,0.03492815652705594,0.03299977083492476,0,0,0,0,0,0,0
Alphaproteobacteria__Rhizobiales__Hyphomicrobiaceae__Pedomicrobium,0.03364428811744915,0.024300779458963778,0.02192513368983957,0.029886111748070012,0.07466911483436615,0.04437824625725634,0.032161955691367455,0.10118456247611769,0.03600366916373643,0.03072924629261581,0.10102321319486866,0.0838048631289188,0.0422556735691908,0.1073364378960226,0.027574091047968225,0.020395691696585443,0.07288317256162916,0.0664271518116496,0.10262675626145387,0.09095081465616156,0.09565682826120202,0.0336821202169098,0.09051295772494458,0.01366725204245247,0.0371982890314696,0.03314242077128675,0.025068786303882606,0.023833167825223437,0.010616359886962499,0.01130893252846336,0.02474982812619357,0.01190112908147696,0.011909306053897244,0,0
Alphaproteobacteria__Rhizobiales__KF-JG30-B3__NA,0,0,0,0,0.020885930686252007,0,0,0.01902942300343905,0,0,0.032529016493585826,0.010934393638170975,0,0.04511794793495687,0.030934922089825848,0.031166450232984495,0.028862348798040116,0.011160373031646537,0.0313836285888821,0,0,0,0.015977371760568765,0,0.026351970669110908,0,0,0,0,0,0,0,0,0,0
Alphaproteobacteria__Rhizobiales__Rhizobiales Incertae Sedis__uncultured,0.022939287352806238,0.012456059911355647,0.012299465240641712,0.020790338607353052,0,0.020164986251145735,0.026050420168067228,0,0.02392600519798196,0.03325179636141263,0,0.014987001070500076,0.022541453350653322,0,0,0,0,0,0,0.01491623957775568,0.01605750114696437,0.029175895516688307,0.012843054812323217,0,0,0,0.024533781718129012,0.025437323351921167,0,0,0,0,0.014123215512634553,0,0
Alphaproteobacteria__Rhizobiales__Xanthobacteraceae__Bradyrhizobium,0.027527144823367485,0.0311019410056549,0.030328495034377387,0.04066345639379347,0.02891898095019509,0.03605255117629086,0.021237585943468296,0.025678257546809323,0.0378382510319523,0.024996177954441215,0.03726328649969456,0.03058571647040832,0.03866432337434095,0.027101305443163602,0,0.012222137346268428,0.024345429490124023,0.018116495948631708,0.02955100794135614,0.018281955174787732,0.023627465973390428,0.02772473840983732,0.02882042657289198,0.016645033213713065,0.017262450351359607,0.011072928598701796,0.016279425252216446,0.017263769001604156,0,0,0,0,0.01366516527979235,0.01290470372632865,0.011916583912611717
Anaerolineae__Caldilineales__Caldilineaceae__uncultured,0,0,0,0,0.013694438069007728,0,0,0.019793656858998854,0,0,0.023747709224190592,0.02607432329102309,0,0.02435300404611039,0,0.05194408372164082,0.025034451079467158,0.028665341690872953,0.02955100794135614,0.05163313699992351,0.017128001223428658,0,0.038758504701475426,0.013514545315721159,0.05682859761686526,0.05505918289423444,0,0,0.019934316046742534,0.016734163673874838,0.06538843480253609,0.05294476655477571,0,0,0
Anaerolineae__SBR1031__A4b__uncultured bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01099320558821284,0,0,0.010641555657632829,0,0,0,0,0,0,0,0.04598227925450657,0.011302023673157694,0,0,0,0,0,0,0,0,0
Bacteroidia__Chitinophagales__Chitinophagaceae__Ferruginibacter,0.04320232451445175,0.016964695093993582,0.01703590527119939,0.022624780249178324,0,0.03544149098686221,0.047746371275783045,0.010393580435613297,0.04013147836722214,0.03286959180553432,0.011148442272449603,0.012922465208747515,0.02246504164437992,0,0,0,0,0.014294450389848647,0,0.01132104337183508,0.012922465208747515,0.020316199495913848,0,0,0,0,0.057169061449098134,0.04751355893361852,0,0,0,0,0,0,0.011763807195783363
Bacteroidia__Chitinophagales__Chitinophagaceae__Terrimonas,0.06315950451139318,0.02521779000458505,0.03177998472116119,0.028280975311472903,0.02226302501721368,0.034830430797433545,0.06592818945760122,0.026671761559037065,0.1267390307292463,0.14699587219079652,0.04726634086744044,0.0345618596115614,0.0779399403988691,0.052752118482326894,0.013519706691109074,0.014666564815522115,0.05359056806002144,0.02400244610915762,0.041921197312156384,0.014151304214793851,0.015675179691084264,0.09027724738409837,0.023774940753765003,0,0.018484570730216927,0,0.09782940996637114,0.08448552440608051,0,0,0.009930486593843098,0,0.015115657683792656,0,0.012756855855167672
Bacteroidia__Chitinophagales__Chitinophagaceae__uncultured,0.013534179538155682,0,0,0,0,0.011151848457073022,0.011382734912146676,0,0.018651582326861336,0.02018040055037456,0,0.011393179385227098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02438092326505656,0.020930410205484685,0,0,0,0,0,0,0
Bacteroidia__Flavobacteriales__Flavobacteriaceae__Flavobacterium,0.012004893714635265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024533781718129012,0.020090138262928728,0,0,0,0,0,0,0
Bacteroidia__Sphingobacteriales__Lentimicrobiaceae__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028322772730742806,0,0
Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__Aridibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014278078949377722,0,0,0,0,0,0,0,0,0.019619818306740974,0.011148442272449603,0.02077763348865633
Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__JGI 0001001-H03,0,0,0,0,0,0,0,0.015666794038975928,0,0,0.015271838729383017,0.02011010857929347,0,0.009924421711581036,0,0.016805438851119087,0.01339764201500536,0.020944809662131175,0.01259926695174099,0.012468446416277826,0.015981036855788347,0,0.013072395076828988,0.03321371306406047,0.048732050106935536,0.1111111111111111,0,0,0.042847322997021306,0.03285703369756247,0.06882591093117409,0.04356118400976503,0.014199557218108253,0.020311545510079413,0
Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__NA,0.012004893714635265,0,0,0,0,0,0.014438502673796792,0,0,0.014370891301024308,0,0,0.011538167647283564,0,0,0,0,0,0,0,0,0.01504620789734973,0,0.04000916240360388,0,0,0.011158667074289207,0.011076311970055763,0.016497365004200716,0.019332161687170477,0,0,0.056950912283380416,0.02611484422724496,0.029180352914215876
Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__Stenotrophobacter,0.05138400367028598,0.04692037291762188,0.045530939648586705,0.047848352824275776,0.010022186519776604,0.04040635502597006,0.08792971734148204,0.012380588460068781,0.04899862406359883,0.08614890689497018,0,0.0172809298057807,0.04523573011385344,0,0,0,0,0.01009020027518728,0,0,0.01330478666462762,0.06682960360497976,0.01246082103814693,0.14736199129571656,0,0.038029782359679264,0.07566493427086518,0.07944389275074479,0.1441228137172535,0.15641476274165203,0.05614544343442059,0.015181568507781507,0.2671196274524773,0.08384239462431277,0.11916583912611718
Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__uncultured,0.010857929346994952,0,0,0,0,0.011151848457073022,0,0.010928544134505159,0.010854609386943893,0,0,0,0,0,0.011151848457073022,0.023527614391566722,0,0.01001375936401162,0,0,0,0,0,0.049171566007482626,0.030400244424075774,0.036273386788850705,0,0,0.023905903918124187,0.025750745014136166,0,0.012435154104363747,0.018474692724635467,0.018173488087965792,0.01153464212054083
Chloroflexia__Chloroflexales__Roseiflexaceae__uncultured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011762908646501681,0,0,0.01444733221219997,0,0,0,0,0.01467777692836939,0,0,0.042611683848797245,0,0,0,0,0.06477732793522267,0.02540433323161428,0,0,0
Gammaproteobacteria__Betaproteobacteriales__Burkholderiaceae__NA,0.01919253708518122,0.02735748127770136,0.027578304048892284,0.013070396698005044,0,0.013825236785823404,0.020397249809014514,0,0.01651123681394282,0.03149365540437242,0,0.014987001070500076,0.025063039657675555,0,0,0,0,0.013912245833970341,0,0.01545169433182896,0.016745679767548555,0.029099518826854045,0.012919501567158475,0,0,0,0.022623051054723325,0.022916507524253303,0,0.013524872010391991,0,0,0.012596381403160547,0,0.013902681231380339
Gammaproteobacteria__Betaproteobacteriales__Nitrosomonadaceae__Ellin6067,0,0,0,0,0,0,0,0.01146350783339702,0,0,0.010461209529627367,0.016745679767548555,0,0.013207115046950149,0,0,0.012096156790690553,0.010472404831065587,0.010232131948686623,0,0.01422235815873987,0,0.010626098922100757,0,0,0,0,0,0,0,0,0,0,0,0.014742953173936292
Gammaproteobacteria__Betaproteobacteriales__Nitrosomonadaceae__IS-44,0,0,0,0,0.07581669344350088,0,0,0.027741688956820786,0,0,0.04024129505192425,0.03731457409389815,0,0.028017405908848006,0.036052551176290866,0.02467343976777939,0.021436227224008574,0.031111450848494114,0.0273365913255956,0.0318978046355083,0.03341489524392109,0,0.03103738246311444,0,0.011228230980751604,0.018098510882016035,0,0,0,0,0.045833015048506606,0.031049740616417455,0,0,0
Gammaproteobacteria__Betaproteobacteriales__Nitrosomonadaceae__MND1,0,0.011691884456671253,0,0,0.0987682656261954,0,0,0.019105846388995033,0,0,0.014813683567501528,0.01246367946169139,0,0.02397129551874189,0.09112435074854873,0.05752043388587579,0.02671872607563926,0.02652499617795444,0.022755039706780698,0.014610265432570947,0.019574858541061325,0,0.015977371760568765,0,0.013214176596394745,0.02787323405880107,0,0,0,0,0.04613856848216332,0.031049740616417455,0,0,0
Gammaproteobacteria__Betaproteobacteriales__Nitrosomonadaceae__Nitrosomonas,0.015445786817556201,0.018263793366957052,0.029793735676088617,0.01987311778644042,0,0.03062939199511152,0.04018334606569901,0,0.011771900321051828,0.013530041278092035,0,0,0.015740811492320622,0,0,0,0,0,0,0,0,0.05873367448254793,0,0.010994884324654501,0,0,0.06488841332925711,0.060805133297685436,0,0,0,0,0.014123215512634553,0,0.012374914063096784
Gammaproteobacteria__Betaproteobacteriales__Nitrosomonadaceae__Nitrosospira,0.020033644288117446,0.011462631820265932,0,0.024382786822594205,0,0.014207149404216315,0,0,0.02086836875095551,0,0,0,0.013830518835485596,0,0,0,0,0,0,0,0,0,0,0.01717950675727266,0,0,0,0,0,0,0,0,0,0,0
Gammaproteobacteria__Gammaproteobacteria Incertae Sedis__Unknown Family__Acidibacter,0.014604679614619972,0.016353354730246066,0.01359816653934301,0.011235955056179775,0,0.013137794072716162,0,0,0.016817000458645467,0.01070172756459257,0,0,0.015970046611140827,0,0,0,0,0,0,0,0.010016822144058725,0,0.009938078128583442,0,0,0,0,0,0.011303750095470862,0.015664399786047223,0,0,0,0.010232131948686623,0.020624856771827974
Gammaproteobacteria__PLTA13__uncultured sludge bacterium__uncultured sludge bacterium,0.049090074935005355,0.03263029191502369,0.025133689839572194,0.04563173584040358,0.05447173131359498,0.03368469294225481,0.020626432391138275,0.04356132976690867,0.0364623146307904,0.023773123375630638,0.039783139890042764,0.08219911301422236,0.04386031940093222,0.04885869150316818,0.022914757103574702,0.012604079138339316,0.03353238401469913,0.07621158844213423,0.02206780696395846,0.07519314617914787,0.09733904266707448,0.020545329565416635,0.10228575796957419,0.019851874475070627,0.010922700886037275,0.03841160748377243,0.02063589116478141,0.01283324421358185,0.03291835331856717,0.0352257965920379,0.04575662669009243,0.03333841928593226,0.014810290861897855,0.022602321319486866,0.03521503322893591
Gemmatimonadetes__Gemmatimonadales__Gemmatimonadaceae__uncultured,0,0,0,0,0.011628796572565221,0,0,0,0,0,0,0,0,0.014428582334529354,0.020776046440574396,0.02734703231227561,0.015541264737406217,0,0,0,0,0,0,0,0.011686526122823098,0,0,0,0,0,0.01840959437781682,0.01007018614586512,0,0,0
Nitrososphaeria__Nitrosopumilales__Nitrosopumilaceae__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02253284448518179,0,0,0,0,0,0,0,0,0,0.03559425603421937,0,0,0,0,0,0,0,0,0,0
Nitrospira__Nitrospirales__Nitrospiraceae__Nitrospira,0.16539226181373298,0.2061745376738499,0.31871657754010696,0.26775204463807994,0.06166322393083926,0.2219676138099603,0.32375859434682963,0.021016431027894536,0.15486928604188963,0.22137287876471487,0.017638973732437387,0.027450680532191466,0.1488500038205853,0.01565004962210856,0.04430186373357776,0.02925674127263005,0.027254631756239472,0.03592722825256077,0.01321014050091631,0.02088273540885795,0.029362287811591985,0.2645688535858856,0.022704686186071403,0.14720928456898527,0.012832263978001832,0.031080565101183656,0.2285998165698563,0.2921854709342296,0.11013518674100665,0.113929854053641,0.039951111450614925,0.05767470247177296,0.19749599206046262,0.1731826511912034,0.29409517989458406
OM190__uncultured bacterium__uncultured bacterium__uncultured bacterium,0,0.011539049365734372,0,0,0.017443194858847832,0,0,0,0,0,0,0,0,0.016947858615161463,0.07661167124961808,0.07302727064395385,0,0,0,0,0,0,0.011467013225288586,0.012292891501870658,0.01367247173846624,0.02588774341351661,0,0,0.11647445199725044,0.12271720027508215,0.12374914063096784,0.14891669209642966,0,0.07903176542455712,0.08876327247727446
Planctomycetacia__Gemmatales__Gemmataceae__uncultured,0,0,0,0.01031873423526714,0.010022186519776604,0,0,0.010699273977837218,0,0,0,0,0.010468403759455949,0.011909306053897244,0.026657500763825236,0.02574287678557788,0.012172714745062013,0,0.010308491142333537,0,0,0,0,0,0.037885731744576844,0.01168384879725086,0,0,0.011914763614144962,0.010239168640635746,0.012451302421510962,0,0,0.015577275503970677,0
Planctomycetacia__Pirellulales__Pirellulaceae__Pir4 lineage,0,0,0,0,0.013158901384744855,0,0,0.011234237676729078,0,0,0.010843005497861942,0.010628536473466892,0,0,0.01924839596700275,0,0,0,0.012064752596212584,0.015298707259236594,0,0,0,0.017713980300832252,0.03383745798961198,0.023520427644138985,0,0,0.011914763614144962,0.010239168640635746,0.011611030478955007,0,0,0.014813683567501528,0
Planctomycetacia__Pirellulales__Pirellulaceae__Pirellula,0.01055207218229087,0.010239951092770901,0,0.015363448750286631,0.010787238925866423,0.018484570730216927,0,0.021322124570118457,0.021327014218009477,0,0.01863164324984728,0.024545037467502674,0.012302284710017574,0,0.01626947754353804,0.014590176457107936,0,0.01138969576517352,0.010079413561392792,0.024095463933297638,0.028291787735127694,0,0,0.0926929831259067,0.017873510540788267,0.05177548682703322,0,0,0.028412128618345682,0.024375334301214947,0,0.020445529447665547,0.08466295137033361,0.04978619425778864,0.02604843021923459
Planctomycetacia__Pirellulales__Pirellulaceae__uncultured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02871982890314696,0.01611794362539149,0,0,0,0,0,0,0,0,0.04216315307057745,0.010309278350515464,0,0,0,0,0,0,0,0,0
Planctomycetacia__Planctomycetales__Rubinisphaeraceae__uncultured,0,0.018722298639767692,0.014285714285714285,0,0,0.01367247173846624,0,0.01780664883454337,0,0,0,0,0,0,0.012603116406966085,0.022840119165839126,0,0.01200122305457881,0,0,0.016745679767548555,0,0,0.05283652744903413,0.010235258172930034,0.05238640702558228,0,0,0.045978767280226075,0.03629556047986551,0.01604155526697731,0.08445224290509612,0.017024200320635164,0.08300244349419669,0.03773584905660377
Planctomycetacia__Planctomycetales__Schlesneriaceae__Planctopirus,0,0,0,0,0,0,0,0.013832632785632404,0,0,0,0,0,0,0.024442407577146347,0.036971965472461996,0,0,0.014660965180207697,0,0,0,0,0,0.05224564619615032,0.01641848033600611,0,0,0,0,0,0.011061946902654867,0,0.01168295662797801,0
Planctomycetacia__Planctomycetales__uncultured__metagenome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010464405743965781,0.014666564815522115,0,0,0,0,0,0,0,0,0.011992056217537428,0.010843833524245896,0,0,0,0,0,0.027387854745193774,0,0.011988393402565668,0
