"";"tax_label";"date";"filter_type";"sampling_time";"sampleID";"rel_abund"
"1";"Alphaproteobacteria__Paracaedibacterales__Paracaedibacteraceae__Candidatus Paracaedibacter";2021-03-25;"BODAC_1";"after";"OBER.018";0,0351744596694448
"2";"Alphaproteobacteria__Reyranellales__Reyranellaceae__Reyranella";2020-03-04;"BODAC_2";"after";"OBER.042";0,0130457307022088
"3";"Alphaproteobacteria__Reyranellales__Reyranellaceae__Reyranella";2020-06-25;"BODAC_2";"after";"OBER.036";0,0150666227223504
"4";"Alphaproteobacteria__Reyranellales__Reyranellaceae__Reyranella";2020-09-15;"BODAC_2";"after";"OBER.030";0,0194119864304561
"5";"Alphaproteobacteria__Reyranellales__Reyranellaceae__Reyranella";2020-12-14;"BODAC_2";"after";"OBER.024";0,0500070631445119
"6";"Alphaproteobacteria__Reyranellales__Reyranellaceae__Reyranella";2021-06-16;"BODAC_1";"after";"OBER.012";0,0205495593156431
"7";"Alphaproteobacteria__Reyranellales__Reyranellaceae__Reyranella";2021-06-16;"BODAC_2";"after";"OBER.013";0,0967635402906209
"8";"Alphaproteobacteria__Reyranellales__Reyranellaceae__Reyranella";2021-09-08;"BODAC_1";"after";"OBER.006";0,0123485883960975
"9";"Alphaproteobacteria__Reyranellales__Reyranellaceae__Reyranella";2021-09-08;"BODAC_2";"after";"OBER.007";0,0823002592505303
"10";"Alphaproteobacteria__Rhizobiales__Hyphomicrobiaceae__Hyphomicrobium";2020-12-14;"BODAC_1";"after";"OBER.023";0,0100800753650495
"11";"Alphaproteobacteria__Rhizobiales__Hyphomicrobiaceae__Hyphomicrobium";2021-03-25;"BODAC_1";"after";"OBER.018";0,0164806705278523
"12";"Alphaproteobacteria__Rhizobiales__Hyphomicrobiaceae__Hyphomicrobium";2021-06-16;"BODAC_1";"after";"OBER.012";0,0146109252014894
"13";"Alphaproteobacteria__Rhizobiales__Hyphomicrobiaceae__Hyphomicrobium";2021-06-16;"BODAC_2";"after";"OBER.013";0,0117474995282129
"14";"Alphaproteobacteria__Rhizobiales__Hyphomicrobiaceae__Hyphomicrobium";2021-09-08;"BODAC_1";"after";"OBER.006";0,0186171466277042
"15";"Alphaproteobacteria__Rhizobiales__Xanthobacteraceae__Bradyrhizobium";2020-12-14;"BODAC_1";"after";"OBER.023";0,0186999528968441
"16";"Alphaproteobacteria__Rhizobiales__Xanthobacteraceae__Pseudorhodoplanes";2020-12-14;"BODAC_2";"after";"OBER.024";0,0201064180439798
"17";"Alphaproteobacteria__Sphingomonadales__Sphingomonadaceae__NA";2020-03-04;"BODAC_1";"after";"OBER.041";0,0099844581547591
"18";"Alphaproteobacteria__Sphingomonadales__Sphingomonadaceae__NA";2020-09-15;"BODAC_1";"after";"OBER.029";0,0126307851823923
"19";"Alphaproteobacteria__Sphingomonadales__Sphingomonadaceae__NA";2020-12-14;"BODAC_2";"after";"OBER.024";0,031030748222442
"20";"Alphaproteobacteria__Sphingomonadales__Sphingomonadaceae__NA";2021-03-25;"BODAC_1";"after";"OBER.018";0,0247680934218581
"21";"Alphaproteobacteria__Sphingomonadales__Sphingomonadaceae__NA";2021-06-16;"BODAC_1";"after";"OBER.012";0,0166847339397653
"22";"Alphaproteobacteria__Sphingomonadales__Sphingomonadaceae__NA";2021-06-16;"BODAC_2";"after";"OBER.013";0,0155217965653897
"23";"Alphaproteobacteria__Sphingomonadales__Sphingomonadaceae__NA";2021-09-08;"BODAC_1";"after";"OBER.006";0,0261582693123439
"24";"Alphaproteobacteria__Sphingomonadales__Sphingomonadaceae__NA";2021-09-08;"BODAC_2";"after";"OBER.007";0,0148479849163328
"25";"Alphaproteobacteria__Sphingomonadales__Sphingomonadaceae__Novosphingobium";2021-03-25;"BODAC_1";"after";"OBER.018";0,0269812120355982
"26";"Alphaproteobacteria__Sphingomonadales__Sphingomonadaceae__Novosphingobium";2021-09-08;"BODAC_1";"after";"OBER.006";0,0162605457887543
"27";"Anaerolineae__Caldilineales__Caldilineaceae__uncultured";2020-03-04;"BODAC_2";"after";"OBER.042";0,0924504309329817
"28";"Anaerolineae__Caldilineales__Caldilineaceae__uncultured";2020-06-25;"BODAC_1";"after";"OBER.035";0,0255806284449051
"29";"Anaerolineae__Caldilineales__Caldilineaceae__uncultured";2020-06-25;"BODAC_2";"after";"OBER.036";0,216064786477706
"30";"Anaerolineae__Caldilineales__Caldilineaceae__uncultured";2020-09-15;"BODAC_2";"after";"OBER.030";0,0417923105917829
"31";"Anaerolineae__Caldilineales__Caldilineaceae__uncultured";2020-12-14;"BODAC_2";"after";"OBER.024";0,091067476573904
"32";"Anaerolineae__Caldilineales__Caldilineaceae__uncultured";2021-06-16;"BODAC_2";"after";"OBER.013";0,0727023966786186
"33";"Anaerolineae__Caldilineales__Caldilineaceae__uncultured";2021-09-08;"BODAC_2";"after";"OBER.007";0,0585434833843978
"34";"Bacteroidia__Chitinophagales__Chitinophagaceae__Ferruginibacter";2020-03-04;"BODAC_1";"after";"OBER.041";0,0119625111854189
"35";"Bacteroidia__Chitinophagales__Chitinophagaceae__Ferruginibacter";2020-06-25;"BODAC_1";"after";"OBER.035";0,0135676261365242
"36";"Bacteroidia__Chitinophagales__Chitinophagaceae__Ferruginibacter";2020-12-14;"BODAC_2";"after";"OBER.024";0,0136083250929981
"37";"Bacteroidia__Chitinophagales__Chitinophagaceae__Ferruginibacter";2021-03-25;"BODAC_1";"after";"OBER.018";0,0545274756321514
"38";"Bacteroidia__Chitinophagales__Chitinophagaceae__Ferruginibacter";2021-06-16;"BODAC_1";"after";"OBER.012";0,0393081019936843
"39";"Bacteroidia__Chitinophagales__Chitinophagaceae__Ferruginibacter";2021-06-16;"BODAC_2";"after";"OBER.013";0,0105208529911304
"40";"Bacteroidia__Chitinophagales__Chitinophagaceae__Ferruginibacter";2021-09-08;"BODAC_1";"after";"OBER.006";0,0162134137719753
"41";"Bacteroidia__Chitinophagales__Chitinophagaceae__Sediminibacterium";2020-09-15;"BODAC_1";"after";"OBER.029";0,137901781506268
"42";"Bacteroidia__Chitinophagales__Chitinophagaceae__Sediminibacterium";2020-09-15;"BODAC_2";"after";"OBER.030";0,0218149264983038
"43";"Bacteroidia__Chitinophagales__Chitinophagaceae__Sediminibacterium";2021-06-16;"BODAC_1";"after";"OBER.012";0,0114059480605175
"44";"Bacteroidia__Chitinophagales__Chitinophagaceae__Sediminibacterium";2021-09-08;"BODAC_1";"after";"OBER.006";0,0212094075505491
"45";"Bacteroidia__Chitinophagales__Chitinophagaceae__Terrimonas";2020-03-04;"BODAC_2";"after";"OBER.042";0,011397353176659
"46";"Bacteroidia__Chitinophagales__Chitinophagaceae__Terrimonas";2020-06-25;"BODAC_1";"after";"OBER.035";0,0135205163235502
"47";"Bacteroidia__Chitinophagales__Chitinophagaceae__Terrimonas";2020-12-14;"BODAC_2";"after";"OBER.024";0,0184583509911946
"48";"Bacteroidia__Chitinophagales__Chitinophagaceae__Terrimonas";2021-03-25;"BODAC_1";"after";"OBER.018";0,0439327588642464
"49";"Bacteroidia__Chitinophagales__Chitinophagaceae__Terrimonas";2021-06-16;"BODAC_1";"after";"OBER.012";0,0819154451618985
"50";"Bacteroidia__Chitinophagales__Chitinophagaceae__Terrimonas";2021-06-16;"BODAC_2";"after";"OBER.013";0,0381204000754859
"51";"Bacteroidia__Chitinophagales__Chitinophagaceae__Terrimonas";2021-09-08;"BODAC_1";"after";"OBER.006";0,0394966300608003
"52";"Bacteroidia__Chitinophagales__Chitinophagaceae__Terrimonas";2021-09-08;"BODAC_2";"after";"OBER.007";0,0211171341032288
"53";"Bacteroidia__Chitinophagales__Chitinophagaceae__uncultured";2020-09-15;"BODAC_1";"after";"OBER.029";0,0154114431143369
"54";"Bacteroidia__Chitinophagales__Chitinophagaceae__uncultured";2020-09-15;"BODAC_2";"after";"OBER.030";0,0251130795326046
"55";"Bacteroidia__Chitinophagales__Chitinophagaceae__uncultured";2021-03-25;"BODAC_1";"after";"OBER.018";0,0603192541319395
"56";"Bacteroidia__Chitinophagales__Chitinophagaceae__uncultured";2021-06-16;"BODAC_1";"after";"OBER.012";0,0448696799736061
"57";"Bacteroidia__Chitinophagales__Chitinophagaceae__uncultured";2021-09-08;"BODAC_1";"after";"OBER.006";0,0146109252014894
"58";"Bacteroidia__Chitinophagales__Chitinophagaceae__uncultured";2021-09-08;"BODAC_2";"after";"OBER.007";0,0259721894885694
"59";"Bacteroidia__Chitinophagales__Saprospiraceae__uncultured";2020-06-25;"BODAC_1";"after";"OBER.035";0,0155933480944081
"60";"Bacteroidia__Chitinophagales__Saprospiraceae__uncultured";2020-09-15;"BODAC_1";"after";"OBER.029";0,0308228862286738
"61";"Bacteroidia__Chitinophagales__Saprospiraceae__uncultured";2020-09-15;"BODAC_2";"after";"OBER.030";0,0247832642291745
"62";"Bacteroidia__Chitinophagales__Saprospiraceae__uncultured";2020-12-14;"BODAC_2";"after";"OBER.024";0,0103592786175072
"63";"Bacteroidia__Chitinophagales__Saprospiraceae__uncultured";2021-03-25;"BODAC_1";"after";"OBER.018";0,0316899750435561
"64";"Bacteroidia__Chitinophagales__Saprospiraceae__uncultured";2021-06-16;"BODAC_1";"after";"OBER.012";0,070933685252392
"65";"Bacteroidia__Chitinophagales__Saprospiraceae__uncultured";2021-09-08;"BODAC_1";"after";"OBER.006";0,0857802705377763
"66";"Bacteroidia__Chitinophagales__Saprospiraceae__uncultured";2021-09-08;"BODAC_2";"after";"OBER.007";0,0105114305915626
"67";"Bacteroidia__Chitinophagales__uncultured__uncultured Cytophagales bacterium";2021-03-25;"BODAC_1";"after";"OBER.018";0,0522201817582521
"68";"Bacteroidia__Chitinophagales__uncultured__uncultured Cytophagales bacterium";2021-06-16;"BODAC_1";"after";"OBER.012";0,0200782391478531
"69";"Bacteroidia__Flavobacteriales__Flavobacteriaceae__Flavobacterium";2020-06-25;"BODAC_1";"after";"OBER.035";0,0135676261365242
"70";"Bacteroidia__Flavobacteriales__Flavobacteriaceae__Flavobacterium";2020-09-15;"BODAC_1";"after";"OBER.029";0,0710717315486851
"71";"Bacteroidia__Flavobacteriales__Flavobacteriaceae__Flavobacterium";2020-09-15;"BODAC_2";"after";"OBER.030";0,0861760271390878
"72";"Bacteroidia__Flavobacteriales__Flavobacteriaceae__Flavobacterium";2020-12-14;"BODAC_1";"after";"OBER.023";0,0258125294394724
"73";"Bacteroidia__Flavobacteriales__Flavobacteriaceae__Flavobacterium";2020-12-14;"BODAC_2";"after";"OBER.024";0,012384046710929
"74";"Bacteroidia__Flavobacteriales__Flavobacteriaceae__Flavobacterium";2021-03-25;"BODAC_1";"after";"OBER.018";0,146725055327965
"75";"Bacteroidia__Flavobacteriales__Flavobacteriaceae__Flavobacterium";2021-06-16;"BODAC_1";"after";"OBER.012";0,0449168119903851
"76";"Bacteroidia__Flavobacteriales__Flavobacteriaceae__Flavobacterium";2021-09-08;"BODAC_1";"after";"OBER.006";0,0395437620775793
"77";"Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__JGI 0001001-H03";2020-03-04;"BODAC_1";"after";"OBER.041";0,0181321527810484
"78";"Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__JGI 0001001-H03";2020-03-04;"BODAC_2";"after";"OBER.042";0,022182451843828
"79";"Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__JGI 0001001-H03";2020-06-25;"BODAC_1";"after";"OBER.035";0,0163471051019927
"80";"Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__JGI 0001001-H03";2020-06-25;"BODAC_2";"after";"OBER.036";0,0347473986534206
"81";"Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__JGI 0001001-H03";2021-06-16;"BODAC_2";"after";"OBER.013";0,0127854312134365
"82";"Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__NA";2020-03-04;"BODAC_1";"after";"OBER.041";0,0507229312862054
"83";"Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__NA";2020-03-04;"BODAC_2";"after";"OBER.042";0,0201102058117082
"84";"Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__NA";2020-06-25;"BODAC_1";"after";"OBER.035";0,0338248457153625
"85";"Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__NA";2021-06-16;"BODAC_1";"after";"OBER.012";0,0103690436913796
"86";"Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__Stenotrophobacter";2020-03-04;"BODAC_1";"after";"OBER.041";0,10832195167899
"87";"Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__Stenotrophobacter";2020-03-04;"BODAC_2";"after";"OBER.042";0,0158244242452786
"88";"Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__Stenotrophobacter";2020-06-25;"BODAC_1";"after";"OBER.035";0,0624205021906063
"89";"Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__Stenotrophobacter";2020-06-25;"BODAC_2";"after";"OBER.036";0,0171382833466736
"90";"Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__Stenotrophobacter";2021-03-25;"BODAC_1";"after";"OBER.018";0,0154447426661016
"91";"Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__Stenotrophobacter";2021-06-16;"BODAC_1";"after";"OBER.012";0,0292689824197577
"92";"Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__Stenotrophobacter";2021-06-16;"BODAC_2";"after";"OBER.013";0,0137290054727307
"93";"Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__Stenotrophobacter";2021-09-08;"BODAC_1";"after";"OBER.006";0,0249328368760899
"94";"Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__Stenotrophobacter";2021-09-08;"BODAC_2";"after";"OBER.007";0,0138109827951921
"95";"Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__uncultured";2020-03-04;"BODAC_1";"after";"OBER.041";0,033626901521217
"96";"Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__uncultured";2020-03-04;"BODAC_2";"after";"OBER.042";0,0161070032496586
"97";"Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__uncultured";2020-06-25;"BODAC_1";"after";"OBER.035";0,0264286050784378
"98";"Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__uncultured";2020-06-25;"BODAC_2";"after";"OBER.036";0,0123357973539244
"99";"Chlamydiae__Chlamydiales__Parachlamydiaceae__Neochlamydia";2020-09-15;"BODAC_2";"after";"OBER.030";0,0138993592159819
"100";"Chlamydiae__Chlamydiales__Parachlamydiaceae__Neochlamydia";2021-06-16;"BODAC_2";"after";"OBER.013";0,0409039441404039
"101";"Chloroflexia__Thermomicrobiales__JG30-KF-CM45__Ambiguous_taxa";2020-03-04;"BODAC_1";"after";"OBER.041";0,022465030848208
"102";"Chloroflexia__Thermomicrobiales__JG30-KF-CM45__Ambiguous_taxa";2020-06-25;"BODAC_1";"after";"OBER.035";0,0409384274744429
"103";"Chloroflexia__Thermomicrobiales__JG30-KF-CM45__Ambiguous_taxa";2020-06-25;"BODAC_2";"after";"OBER.036";0,0125712133339611
"104";"Chloroflexia__Thermomicrobiales__JG30-KF-CM45__Ambiguous_taxa";2021-06-16;"BODAC_1";"after";"OBER.012";0,0217749917518971
"105";"Chloroflexia__Thermomicrobiales__JG30-KF-CM45__Ambiguous_taxa";2021-06-16;"BODAC_2";"after";"OBER.013";0,0154274391394603
"106";"Gammaproteobacteria__Betaproteobacteriales__Burkholderiaceae__Hydrogenophaga";2020-09-15;"BODAC_1";"after";"OBER.029";0,023847676501084
